record_id,lead,n_samples,sampling_rate,lowcut_hz,highcut_hz,signal_power,noise_power,nsr,nsr_db,snr_db
100,MLII,650000,360,0.5,40.0,0.03350670207824968,0.09693430441179582,2.8929825497424626,4.613458140235747,-4.613458140235747
101,MLII,650000,360,0.5,40.0,0.05165534895767023,0.09571949340971474,1.8530412695140932,2.6788509170025483,-2.6788509170025483
103,MLII,650000,360,0.5,40.0,0.08880906883532991,0.06699760298827527,0.7544004668318555,-1.2239805152412666,1.2239805152412666
105,MLII,650000,360,0.5,40.0,0.1335879209804232,0.07663801082156757,0.5736896738800102,-2.4132296712521253,2.4132296712521253
106,MLII,650000,360,0.5,40.0,0.12260297986775986,0.04097451376410514,0.3342048766538989,-4.759872172540388,4.759872172540388
107,MLII,650000,360,0.5,40.0,0.6719446248677536,0.11609539459678685,0.17277524114377096,-7.625184922103263,7.625184922103263
108,MLII,650000,360,0.5,40.0,0.030099672238526,0.11092870581206281,3.6853791939328793,5.664821796740814,-5.664821796740814
109,MLII,650000,360,0.5,40.0,0.24147312327218134,0.060448597867161155,0.2503326127894792,-6.014825677634441,6.014825677634441
111,MLII,650000,360,0.5,40.0,0.03591476369654783,0.055903752928453614,1.5565674718285047,1.921679505936771,-1.921679505936771
112,MLII,650000,360,0.5,40.0,0.033712219582231535,0.6923433448421027,20.536866258637307,13.125341748789863,-13.125341748789863
113,MLII,650000,360,0.5,40.0,0.14583205238534624,0.0462141015321699,0.31689947975259836,-4.990784737814925,4.990784737814925
114,MLII,650000,360,0.5,40.0,0.120336830923681,0.023834118197205836,0.1980617074112722,-7.031994813897625,7.031994813897625
115,MLII,650000,360,0.5,40.0,0.09310528834562583,0.2750545461828803,2.9542311835373054,4.704444780463383,-4.704444780463383
116,MLII,650000,360,0.5,40.0,0.29101092904898873,1.0183991349221941,3.4995219535234603,5.440087223141264,-5.440087223141264
117,MLII,650000,360,0.5,40.0,0.03991928471223599,0.7422698235135384,18.5942666273782,12.69379054113992,-12.69379054113992
118,MLII,650000,360,0.5,40.0,0.1558179981538893,0.7617347958858173,4.888618804700027,6.891861740055727,-6.891861740055727
119,MLII,650000,360,0.5,40.0,0.2566523361093739,0.7632951291499236,2.974043177322341,4.733472693428676,-4.733472693428676
121,MLII,650000,360,0.5,40.0,0.03100252594355542,0.7145343426031472,23.04761695560098,13.62626027489851,-13.62626027489851
122,MLII,650000,360,0.5,40.0,0.12614972127719842,0.7190526477273589,5.699993947250423,7.5587439450106375,-7.5587439450106375
123,MLII,650000,360,0.5,40.0,0.07617122263474012,0.6414793835572768,8.421545058208261,9.253917766180434,-9.253917766180434
124,MLII,650000,360,0.5,40.0,0.1439278609020101,0.7216343758581593,5.013861606332544,7.00172342299582,-7.00172342299582
200,MLII,650000,360,0.5,40.0,0.133897233059862,0.01993186609116819,0.14885943223529619,-8.272236417834065,8.272236417834065
201,MLII,650000,360,0.5,40.0,0.030757424027819853,0.03183812251756894,1.035136183341349,0.1499748967990273,-0.1499748967990273
